Plane 85: Normal=<Point.Point object at 0x73770778c8f0>, DiffuseIntensity=0.0, BaseColor=#cccccc, FinalColor=#cccccc
Plane 46: Normal=<Point.Point object at 0x73770777cec0>, DiffuseIntensity=0.0, BaseColor=#cccccc, FinalColor=#cccccc
Plane 86: Normal=<Point.Point object at 0x73770778ca70>, DiffuseIntensity=0.0, BaseColor=#cccccc, FinalColor=#cccccc
Plane 47: Normal=<Point.Point object at 0x73770777d040>, DiffuseIntensity=0.0, BaseColor=#cccccc, FinalColor=#cccccc
Plane 87: Normal=<Point.Point object at 0x73770778cbf0>, DiffuseIntensity=0.0, BaseColor=#cccccc, FinalColor=#cccccc
Plane 48: Normal=<Point.Point object at 0x73770777d1c0>, DiffuseIntensity=0.0, BaseColor=#cccccc, FinalColor=#cccccc
Plane 88: Normal=<Point.Point object at 0x73770778cd70>, DiffuseIntensity=0.0, BaseColor=#cccccc, FinalColor=#cccccc
Plane 49: Normal=<Point.Point object at 0x73770777d340>, DiffuseIntensity=0.0, BaseColor=#cccccc, FinalColor=#cccccc
Plane 89: Normal=<Point.Point object at 0x73770778cef0>, DiffuseIntensity=0.0, BaseColor=#cccccc, FinalColor=#cccccc
Plane 50: Normal=<Point.Point object at 0x73770777d4c0>, DiffuseIntensity=0.0, BaseColor=#cccccc, FinalColor=#cccccc
Plane 90: Normal=<Point.Point object at 0x73770778d070>, DiffuseIntensity=0.0, BaseColor=#cccccc, FinalColor=#cccccc
Plane 51: Normal=<Point.Point object at 0x73770777d640>, DiffuseIntensity=0.0, BaseColor=#cccccc, FinalColor=#cccccc
Plane 91: Normal=<Point.Point object at 0x73770778d1f0>, DiffuseIntensity=0.0, BaseColor=#cccccc, FinalColor=#cccccc
Plane 52: Normal=<Point.Point object at 0x73770777d7c0>, DiffuseIntensity=0.0, BaseColor=#cccccc, FinalColor=#cccccc
Plane 92: Normal=<Point.Point object at 0x73770778d370>, DiffuseIntensity=0.0, BaseColor=#cccccc, FinalColor=#cccccc
Plane 53: Normal=<Point.Point object at 0x73770777d940>, DiffuseIntensity=0.0, BaseColor=#cccccc, FinalColor=#cccccc
Plane 93: Normal=<Point.Point object at 0x73770778d4f0>, DiffuseIntensity=0.0, BaseColor=#cccccc, FinalColor=#cccccc
Plane 54: Normal=<Point.Point object at 0x73770777dac0>, DiffuseIntensity=0.0, BaseColor=#cccccc, FinalColor=#cccccc
Plane 94: Normal=<Point.Point object at 0x73770778d670>, DiffuseIntensity=0.0, BaseColor=#cccccc, FinalColor=#cccccc
Plane 55: Normal=<Point.Point object at 0x73770777dc40>, DiffuseIntensity=0.0, BaseColor=#cccccc, FinalColor=#cccccc
Plane 95: Normal=<Point.Point object at 0x73770778d7f0>, DiffuseIntensity=0.0, BaseColor=#cccccc, FinalColor=#cccccc
Plane 56: Normal=<Point.Point object at 0x73770777ddc0>, DiffuseIntensity=0.0, BaseColor=#cccccc, FinalColor=#cccccc
Plane 96: Normal=<Point.Point object at 0x73770778d970>, DiffuseIntensity=0.0, BaseColor=#cccccc, FinalColor=#cccccc
Plane 57: Normal=<Point.Point object at 0x73770777df40>, DiffuseIntensity=0.0, BaseColor=#cccccc, FinalColor=#cccccc
Plane 97: Normal=<Point.Point object at 0x73770778daf0>, DiffuseIntensity=0.0, BaseColor=#cccccc, FinalColor=#cccccc
Plane 58: Normal=<Point.Point object at 0x73770777e0c0>, DiffuseIntensity=0.0, BaseColor=#cccccc, FinalColor=#cccccc
Plane 98: Normal=<Point.Point object at 0x73770778dc70>, DiffuseIntensity=0.0, BaseColor=#cccccc, FinalColor=#cccccc
Plane 59: Normal=<Point.Point object at 0x73770777e240>, DiffuseIntensity=0.0, BaseColor=#cccccc, FinalColor=#ccccccPlane 99: Normal=<Point.Point object at 0x73770778ddf0>, DiffuseIntensity=0.0, BaseColor=#cccccc, FinalColor=#cccccc

Plane 60: Normal=<Point.Point object at 0x73770777e3c0>, DiffuseIntensity=0.0, BaseColor=#cccccc, FinalColor=#ccccccPlane 100: Normal=<Point.Point object at 0x73770778df70>, DiffuseIntensity=0.0, BaseColor=#cccccc, FinalColor=#cccccc

Plane 61: Normal=<Point.Point object at 0x73770777e540>, DiffuseIntensity=0.0, BaseColor=#cccccc, FinalColor=#ccccccPlane 101: Normal=<Point.Point object at 0x73770778e0f0>, DiffuseIntensity=0.0, BaseColor=#cccccc, FinalColor=#cccccc

Plane 102: Normal=<Point.Point object at 0x73770778e270>, DiffuseIntensity=0.0, BaseColor=#cccccc, FinalColor=#ccccccPlane 62: Normal=<Point.Point object at 0x73770777e6c0>, DiffuseIntensity=0.0, BaseColor=#cccccc, FinalColor=#cccccc

Plane 103: Normal=<Point.Point object at 0x73770778e3f0>, DiffuseIntensity=0.0, BaseColor=#cccccc, FinalColor=#cccccc
Plane 63: Normal=<Point.Point object at 0x73770777e840>, DiffuseIntensity=0.0, BaseColor=#cccccc, FinalColor=#cccccc
Plane 104: Normal=<Point.Point object at 0x73770778e570>, DiffuseIntensity=0.0, BaseColor=#cccccc, FinalColor=#cccccc
Plane 64: Normal=<Point.Point object at 0x73770777e9c0>, DiffuseIntensity=0.0, BaseColor=#cccccc, FinalColor=#cccccc
Plane 105: Normal=<Point.Point object at 0x73770778e6f0>, DiffuseIntensity=0.0, BaseColor=#cccccc, FinalColor=#cccccc
Plane 65: Normal=<Point.Point object at 0x73770777eb40>, DiffuseIntensity=0.0, BaseColor=#cccccc, FinalColor=#cccccc
Plane 106: Normal=<Point.Point object at 0x73770778e870>, DiffuseIntensity=0.0, BaseColor=#cccccc, FinalColor=#cccccc
Plane 66: Normal=<Point.Point object at 0x73770777ecc0>, DiffuseIntensity=0.0, BaseColor=#cccccc, FinalColor=#cccccc
Plane 107: Normal=<Point.Point object at 0x73770778e9f0>, DiffuseIntensity=0.0, BaseColor=#cccccc, FinalColor=#cccccc
Plane 67: Normal=<Point.Point object at 0x73770777ee40>, DiffuseIntensity=0.0, BaseColor=#cccccc, FinalColor=#cccccc
Plane 108: Normal=<Point.Point object at 0x73770778eb70>, DiffuseIntensity=0.0, BaseColor=#cccccc, FinalColor=#cccccc
